date,open,high,low,close
2024-04-01 03:18:00,1.07872,1.07872,1.07864,1.07868
2024-04-01 03:19:00,1.07866,1.07866,1.07864,1.07864
2024-04-01 03:20:00,1.07865,1.07869,1.07865,1.07866
2024-04-01 03:21:00,1.07865,1.07868,1.07864,1.07864
2024-04-01 03:22:00,1.07864,1.07864,1.07858,1.07858
2024-04-01 03:23:00,1.07859,1.07859,1.07857,1.07858
2024-04-01 03:24:00,1.07858,1.07858,1.07858,1.07858
2024-04-01 03:25:00,1.07858,1.07865,1.07854,1.07863
2024-04-01 03:26:00,1.07864,1.07864,1.07858,1.07864
2024-04-01 03:27:00,1.07864,1.07864,1.07849,1.07849
2024-04-01 03:28:00,1.07849,1.07854,1.07849,1.07854
2024-04-01 03:29:00,1.07854,1.07854,1.07851,1.07853
2024-04-01 03:30:00,1.07854,1.07865,1.07853,1.07864
2024-04-01 03:31:00,1.07863,1.07871,1.07863,1.07871
2024-04-01 03:32:00,1.0787,1.07879,1.0787,1.07878
2024-04-01 03:33:00,1.07877,1.07878,1.07874,1.07878
2024-04-01 03:34:00,1.07878,1.0788,1.07877,1.07878
2024-04-01 03:35:00,1.07879,1.07883,1.07878,1.07883
2024-04-01 03:36:00,1.07884,1.07885,1.07883,1.07884
2024-04-01 03:37:00,1.07884,1.07895,1.07884,1.07894
2024-04-01 03:38:00,1.07894,1.07894,1.0789,1.07892
2024-04-01 03:39:00,1.07892,1.07901,1.07892,1.079
2024-04-01 03:40:00,1.079,1.07902,1.07898,1.079
2024-04-01 03:41:00,1.07899,1.07904,1.07899,1.07902
2024-04-01 03:42:00,1.07902,1.07902,1.07899,1.07899
2024-04-01 03:43:00,1.07899,1.07899,1.07894,1.07895
2024-04-01 03:44:00,1.07896,1.07898,1.07894,1.07896
2024-04-01 03:45:00,1.07896,1.07897,1.07887,1.07888
2024-04-01 03:46:00,1.07887,1.07888,1.07884,1.07886
2024-04-01 03:47:00,1.07887,1.07892,1.07886,1.07892
2024-04-01 03:48:00,1.07892,1.07902,1.07892,1.07902
2024-04-01 03:49:00,1.07903,1.07904,1.07898,1.079
2024-04-01 03:50:00,1.07899,1.079,1.07898,1.07899
2024-04-01 03:51:00,1.07899,1.07902,1.07899,1.07899
2024-04-01 03:52:00,1.07899,1.07902,1.07899,1.079
2024-04-01 03:53:00,1.079,1.07903,1.07895,1.079
2024-04-01 03:54:00,1.07901,1.07905,1.079,1.079
2024-04-01 03:55:00,1.07901,1.0791,1.07901,1.07908
2024-04-01 03:56:00,1.07908,1.07915,1.07908,1.07914
2024-04-01 03:57:00,1.07914,1.07914,1.07913,1.07913
2024-04-01 03:58:00,1.07912,1.07912,1.07902,1.07905
2024-04-01 03:59:00,1.07905,1.07905,1.07902,1.07905
2024-04-01 04:00:00,1.07904,1.07914,1.07904,1.07912
2024-04-01 04:01:00,1.07912,1.07912,1.07904,1.07904
2024-04-01 04:02:00,1.07904,1.0791,1.07904,1.07909
2024-04-01 04:03:00,1.07908,1.07913,1.07908,1.0791
2024-04-01 04:04:00,1.07911,1.07913,1.07908,1.0791
2024-04-01 04:05:00,1.07909,1.07909,1.07904,1.07904
2024-04-01 04:06:00,1.07904,1.07904,1.07896,1.07898
2024-04-01 04:07:00,1.07898,1.07899,1.07892,1.07892
2024-04-01 04:08:00,1.07892,1.07892,1.07886,1.07887
2024-04-01 04:09:00,1.07886,1.07889,1.07886,1.07888
2024-04-01 04:10:00,1.07888,1.07888,1.07884,1.07885
2024-04-01 04:11:00,1.07885,1.07886,1.07877,1.07879
2024-04-01 04:12:00,1.07878,1.07882,1.07876,1.0788
2024-04-01 04:13:00,1.07881,1.07884,1.0788,1.07884
2024-04-01 04:14:00,1.07884,1.07885,1.0788,1.07884
2024-04-01 04:15:00,1.07884,1.07884,1.07871,1.07874
2024-04-01 04:16:00,1.07874,1.07874,1.0787,1.0787
2024-04-01 04:17:00,1.07871,1.07872,1.0787,1.07872
2024-04-01 04:18:00,1.07873,1.07874,1.0787,1.07872
2024-04-01 04:19:00,1.07872,1.07872,1.07866,1.07867
2024-04-01 04:20:00,1.07866,1.07866,1.07861,1.07861
2024-04-01 04:21:00,1.07862,1.07862,1.07861,1.07862
2024-04-01 04:22:00,1.07862,1.07862,1.07861,1.07862
2024-04-01 04:24:00,1.07862,1.07862,1.07862,1.07862
2024-04-01 04:25:00,1.07862,1.07868,1.07862,1.07868
2024-04-01 04:26:00,1.07868,1.07872,1.07868,1.07871
2024-04-01 04:27:00,1.07872,1.07875,1.07866,1.07866
2024-04-01 04:28:00,1.07867,1.0787,1.07866,1.07868
2024-04-01 04:29:00,1.07868,1.0787,1.07866,1.07866
2024-04-01 04:30:00,1.07867,1.07868,1.07862,1.07867
2024-04-01 04:31:00,1.07868,1.07876,1.07868,1.07875
2024-04-01 04:32:00,1.07876,1.07876,1.07866,1.07868
2024-04-01 04:33:00,1.07868,1.07869,1.07866,1.07869
2024-04-01 04:34:00,1.0787,1.0787,1.0786,1.07862
2024-04-01 04:35:00,1.07862,1.07862,1.07856,1.07856
2024-04-01 04:36:00,1.07856,1.07856,1.07855,1.07855
2024-04-01 04:37:00,1.07856,1.07856,1.07853,1.07853
2024-04-01 04:38:00,1.07852,1.07852,1.0785,1.07851
2024-04-01 04:39:00,1.07851,1.07851,1.07848,1.07849
2024-04-01 04:40:00,1.07848,1.07848,1.07844,1.07846
2024-04-01 04:41:00,1.07845,1.07846,1.07842,1.07845
2024-04-01 04:42:00,1.07846,1.07851,1.07846,1.07848
2024-04-01 04:43:00,1.07849,1.07851,1.07846,1.07851
2024-04-01 04:44:00,1.0785,1.07853,1.0785,1.07851
2024-04-01 04:45:00,1.07852,1.07863,1.07852,1.07862
2024-04-01 04:46:00,1.07863,1.07866,1.0786,1.07865
2024-04-01 04:47:00,1.07865,1.07869,1.07861,1.07862
2024-04-01 04:48:00,1.07864,1.07866,1.07864,1.07865
2024-04-01 04:49:00,1.07865,1.07866,1.07861,1.07865
2024-04-01 04:50:00,1.07865,1.07866,1.07864,1.07866
2024-04-01 04:51:00,1.07866,1.07866,1.07866,1.07866
